
# Surface 0 of 1 surfaces

# Curve title: "diff"

# Contour 0, label:        0
 1859.75  0.2  0 
 1818.42  0.215436  0 
 1817.49  0.215789  0 
 1781.09  0.231579  0 
 1748.29  0.247368  0 
 1742.11  0.250665  0 
 1719.31  0.263158  0 
 1692.94  0.278947  0 
 1668.74  0.294737  0 
 1665.79  0.296825  0 
 1647.11  0.310526  0 
 1626.82  0.326316  0 
 1608.03  0.342105  0 
 1590.48  0.357895  0 
 1589.47  0.358862  0 
 1574.46  0.373684  0 
 1559.37  0.389474  0 
 1545.12  0.405263  0 
 1531.64  0.421053  0 
 1518.87  0.436842  0 
 1513.16  0.444274  0 
 1506.9  0.452632  0 
 1495.67  0.468421  0 
 1484.91  0.484211  0 
 1474.64  0.5  0 

